id,start_date,name,distance,moving_time,elapsed_time,total_elevation_gain,type,start_date_local,average_speed,max_speed,average_cadence,average_heartrate,max_heartrate,suffer_score
10890844505,2024-03-04T20:34:47Z,Sally's Stolen Strava,3627.9,1356,1356,14.6,Run,2024-03-04T15:34:47Z,2.675,10.109,,,,
10890564882,2024-03-04T19:50:25Z,Afternoon Run,3233.4,1074,1116,35.8,Run,2024-03-04T14:50:25Z,3.011,4.52,79.3,,,
10877807280,2024-03-03T01:07:21Z,Evening Run,4843.9,1411,1462,41.3,Run,2024-03-02T20:07:21Z,3.433,5.147,81.9,,,
10869836460,2024-03-01T19:38:19Z,Happy Friday,21243.2,5699,5892,145.4,Run,2024-03-01T14:38:19Z,3.728,4.918,83.2,,,
10848215331,2024-02-27T15:38:30Z,(K)need more time off?,6517.0,1723,2002,69.9,Run,2024-02-27T10:38:30Z,3.782,5.12,80.8,,,
10837924341,2024-02-26T00:00:06Z,Feeling it out,3232.9,874,874,7.1,Run,2024-02-25T19:00:06Z,3.699,6.122,80.7,,,
10781066413,2024-02-17T15:36:45Z,Morning Run,4456.5,1357,1368,5.0,Run,2024-02-17T10:36:45Z,3.284,4.538,81.1,,,
10768716015,2024-02-15T18:11:46Z,Afternoon Run,12883.8,3505,3723,130.3,Run,2024-02-15T13:11:46Z,3.676,4.802,82.4,,,
10743579818,2024-02-11T20:48:25Z,Afternoon Run,3251.8,906,938,16.4,Run,2024-02-11T15:48:25Z,3.589,4.475,82.2,,,
10729787657,2024-02-09T20:38:47Z,Days like today,16104.3,4382,4795,131.5,Run,2024-02-09T15:38:47Z,3.675,6.316,83.0,,,
10721920746,2024-02-08T15:42:20Z,Morning Run,6457.7,1802,1948,93.5,Run,2024-02-08T10:42:20Z,3.584,5.172,80.6,,,
10688918085,2024-02-03T15:07:59Z,Sibling Saturday,19321.0,5767,6115,176.7,Run,2024-02-03T10:07:59Z,3.35,5.412,83.0,,,
10683248931,2024-02-02T21:21:29Z,Afternoon Run,6443.0,1671,1716,70.9,Run,2024-02-02T16:21:29Z,3.856,5.502,81.9,,,
10667893344,2024-01-31T14:11:16Z,Morning Run,9665.4,2632,2746,90.5,Run,2024-01-31T09:11:16Z,3.672,6.704,81.4,,,
10640530421,2024-01-27T13:18:22Z,Good morning,22882.4,7637,7809,213.9,Run,2024-01-27T08:18:22Z,2.996,7.05,79.6,155.7,182.0,94.0
10629822112,2024-01-25T21:43:21Z,Great run for a day,12883.6,3517,3883,113.1,Run,2024-01-25T16:43:21Z,3.663,5.225,81.6,166.0,191.0,79.0
10609499734,2024-01-22T19:48:51Z,Afternoon Run,8055.4,2179,2585,83.3,Run,2024-01-22T14:48:51Z,3.697,4.906,82.8,155.1,179.0,25.0
10597437163,2024-01-20T21:54:05Z,Snow,4837.9,1383,1477,53.5,Run,2024-01-20T16:54:05Z,3.498,4.341,82.0,149.9,162.0,9.0
10585053301,2024-01-18T21:25:21Z,Brace yourself!,12885.4,3590,3892,139.0,Run,2024-01-18T16:25:21Z,3.589,4.926,82.6,160.7,190.0,58.0
10579015580,2024-01-17T18:40:22Z,Afternoon Run,4879.9,1334,1438,44.9,Run,2024-01-17T13:40:22Z,3.658,5.513,81.7,149.9,170.0,9.0
10565695393,2024-01-15T20:10:57Z,Afternoon Run,12899.3,3599,3901,114.6,Run,2024-01-15T15:10:57Z,3.584,6.224,81.2,165.6,185.0,82.0
10552341277,2024-01-13T18:32:10Z,Afternoon Run,12085.4,3248,3343,32.6,Run,2024-01-13T13:32:10Z,3.721,5.396,81.7,175.8,197.0,110.0
